Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,1.457230,1.461900,1.455680,1.457230,1.347153,295780
2008-01-02,1.451010,1.452570,1.446350,1.451010,1.341403,267488
2008-01-03,1.443230,1.446350,1.440120,1.443230,1.334210,1485330
2008-01-04,1.486780,1.486780,1.447900,1.486780,1.374471,2870352
2008-01-07,1.480560,1.488340,1.477450,1.480560,1.368720,713087
2008-01-08,1.503890,1.503890,1.491450,1.503890,1.390288,1089242
2008-01-09,1.524110,1.531880,1.497670,1.524110,1.408981,751024
2008-01-11,1.544320,1.550540,1.536550,1.544320,1.427664,936851
2008-01-14,1.539660,1.553650,1.539660,1.539660,1.423356,574199
2008-01-15,1.527220,1.559880,1.527220,1.527220,1.411856,875766
2008-01-16,1.477450,1.516330,1.477450,1.477450,1.365845,646858
2008-01-17,1.493000,1.493000,1.466560,1.493000,1.380221,601205
2008-01-18,1.475890,1.493000,1.457230,1.475890,1.364403,1023656
2008-01-21,1.427680,1.461900,1.415240,1.427680,1.319835,734306
2008-01-22,1.343700,1.381030,1.343700,1.343700,1.242199,722732
2008-01-23,null,null,null,null,null,null
2008-01-24,1.393470,1.461900,1.390360,1.393470,1.288209,1076382
2008-01-25,1.433900,1.437010,1.413690,1.433900,1.325585,873837
2008-01-28,1.412130,1.415240,1.396580,1.412130,1.305459,331145
2008-01-29,1.410580,1.429240,1.405910,1.410580,1.304027,758740
2008-01-30,1.404350,1.426130,1.398130,1.404350,1.298267,565840
2008-01-31,1.412130,1.421460,1.401240,1.412130,1.305459,797320
2008-02-04,1.447900,1.451010,1.432350,1.447900,1.338528,349792
2008-02-05,1.458790,1.458790,1.447900,1.458790,1.348595,327930
2008-02-06,1.433900,1.437010,1.432350,1.433900,1.325585,357508
2008-02-11,1.437010,1.444790,1.429240,1.437010,1.328460,300281
2008-02-12,1.444790,1.444790,1.441680,1.444790,1.335653,280991
2008-02-13,1.454120,1.466560,1.446350,1.454120,1.344278,541406
2008-02-14,1.471230,1.471230,1.466560,1.471230,1.360095,437883
2008-02-15,1.461900,1.468120,1.461900,1.461900,1.351470,450100
2008-02-18,1.451010,1.466560,1.447900,1.451010,1.341403,270060
2008-02-19,1.461900,1.461900,1.457230,1.461900,1.351470,261058
2008-02-20,1.452570,1.458790,1.449460,1.452570,1.342845,205760
2008-02-21,1.430790,1.452570,1.430790,1.430790,1.322710,232766
2008-02-22,1.410580,1.423020,1.402800,1.410580,1.304027,208975
2008-02-25,1.412130,1.415240,1.402800,1.412130,1.305459,141460
2008-02-26,1.421460,1.423020,1.410580,1.421460,1.314085,223121
2008-02-27,1.421460,1.424570,1.421460,1.421460,1.314085,28292
2008-02-28,1.407470,1.407470,1.405910,1.407470,1.301152,270060
2008-02-29,1.388800,1.390360,1.385690,1.388800,1.283892,51440
2008-03-03,1.348370,1.349920,1.342150,1.348370,1.246516,1363
2008-03-04,1.346810,1.346810,1.342150,1.346810,1.245074,127314
2008-03-05,1.318820,1.334370,1.312600,1.318820,1.219198,113811
2008-03-06,1.342150,1.342150,1.326590,1.342150,1.240766,118312
2008-03-07,1.337480,1.337480,1.315710,1.337480,1.236449,99665
2008-03-10,1.211510,1.261280,1.211510,1.211510,1.119994,425666
2008-03-11,1.247280,1.247280,1.220840,1.247280,1.153062,122170
2008-03-12,1.279940,1.279940,1.261280,1.279940,1.183255,150462
2008-03-13,1.244170,1.250390,1.211510,1.244170,1.150187,134387
2008-03-14,1.236390,1.259720,1.223950,1.236390,1.142995,181969
2008-03-17,1.194400,1.199070,1.191290,1.194400,1.104177,407019
2008-03-18,1.228620,1.228620,1.194400,1.228620,1.135812,169109
2008-03-19,1.205290,1.244170,1.205290,1.205290,1.114244,154963
2008-03-21,1.213060,1.214620,1.211510,1.213060,1.121427,122813
2008-03-24,1.230170,1.230170,1.219280,1.230170,1.137245,98379
2008-03-25,1.272160,1.272160,1.242610,1.272160,1.176063,149819
2008-03-26,1.278380,1.287710,1.269050,1.278380,1.181813,57227
2008-03-27,1.287710,1.287710,1.267500,1.287710,1.190438,219263
2008-03-28,1.298600,1.298600,1.283050,1.298600,1.200506,186470
2008-03-31,1.306380,1.306380,1.286160,1.306380,1.207698,88091
2008-04-01,1.290820,1.290820,1.278380,1.290820,1.193313,162679
2008-04-02,1.283050,1.307930,1.275270,1.283050,1.186130,100308
2008-04-03,1.256610,1.267500,1.256610,1.256610,1.161687,118312
2008-04-04,1.269050,1.269050,1.269050,1.269050,1.173188,38580
2008-04-07,1.256610,1.256610,1.245720,1.256610,1.161687,110596
2008-04-08,1.255050,1.255050,1.244170,1.255050,1.160245,91306
2008-04-09,1.262830,1.265940,1.261280,1.262830,1.167438,66872
2008-04-10,1.289270,1.289270,1.264390,1.289270,1.191880,452672
2008-04-11,1.284600,1.287710,1.283050,1.284600,1.187563,138888
2008-04-14,1.273720,1.273720,1.265940,1.273720,1.177505,67515
2008-04-15,1.279940,1.281490,1.275270,1.279940,1.183255,87448
2008-04-16,1.290820,1.292380,1.290820,1.290820,1.193313,70730
2008-04-17,1.293930,1.306380,1.292380,1.293930,1.196188,68158
2008-04-18,1.298600,1.298600,1.287710,1.298600,1.200506,72659
2008-04-21,1.314150,1.318820,1.314150,1.314150,1.214881,119598
2008-04-22,1.312600,1.312600,1.311040,1.312600,1.213448,90020
2008-04-23,1.320370,1.320370,1.303270,1.320370,1.220631,212190
2008-04-24,1.326590,1.337480,1.326590,1.326590,1.226381,116383
2008-04-25,1.329700,1.332810,1.326590,1.329700,1.229256,170395
2008-04-28,1.328150,1.329700,1.328150,1.328150,1.227823,90020
2008-04-29,1.314150,1.331260,1.314150,1.314150,1.214881,115740
2008-04-30,1.303270,1.303270,1.301710,1.303270,1.204823,19290
2008-05-02,1.303270,1.303270,1.300160,1.303270,1.204823,73302
2008-05-05,1.293930,1.298600,1.293930,1.293930,1.196188,43081
2008-05-06,1.295490,1.295490,1.293930,1.295490,1.197630,34722
2008-05-07,1.306380,1.307930,1.306380,1.306380,1.207698,58513
2008-05-08,1.300160,1.301710,1.297050,1.300160,1.201948,88091
2008-05-09,1.307930,1.307930,1.304820,1.307930,1.209131,654574
2008-05-12,1.309490,1.309490,1.306380,1.309490,1.210573,308640
2008-05-13,1.312600,1.312600,1.306380,1.312600,1.213448,154320
2008-05-14,1.314150,1.314150,1.306380,1.314150,1.214881,167180
2008-05-15,1.314150,1.314150,1.314150,1.314150,1.214881,51440
2008-05-16,1.323480,1.326590,1.323480,1.323480,1.223506,126671
2008-05-20,1.312600,1.314150,1.312600,1.312600,1.213448,27649
2008-05-21,1.300160,1.306380,1.298600,1.300160,1.201948,147890
2008-05-22,1.293930,1.295490,1.286160,1.293930,1.196188,104166
2008-05-23,1.293930,1.293930,1.293930,1.293930,1.196188,82304
2008-05-26,1.284600,1.284600,1.283050,1.284600,1.187563,302210
2008-05-27,1.286160,1.286160,1.284600,1.286160,1.189005,83590
2008-05-28,1.287710,1.287710,1.286160,1.287710,1.190438,45010
2008-05-29,1.284600,1.286160,1.283050,1.284600,1.187563,70730
2008-05-30,1.284600,1.284600,1.284600,1.284600,1.187563,151105
2008-06-02,1.283050,1.283050,1.281490,1.283050,1.186130,78446
2008-06-03,1.278380,1.278380,1.276830,1.278380,1.181813,64300
2008-06-04,1.259720,1.278380,1.259720,1.259720,1.164562,54655
2008-06-05,1.237950,1.237950,1.234840,1.237950,1.144437,60442
2008-06-06,1.259720,1.259720,1.259720,1.259720,1.164562,10931
2008-06-09,1.247280,1.248830,1.244170,1.247280,1.153062,61728
2008-06-10,1.247280,1.248830,1.247280,1.247280,1.153062,52726
2008-06-11,1.247280,1.247280,1.244170,1.247280,1.153062,25720
2008-06-12,1.241060,1.247280,1.241060,1.241060,1.147312,90020
2008-06-13,1.245720,1.245720,1.244170,1.245720,1.151620,77160
2008-06-16,1.259720,1.259720,1.250390,1.259720,1.164562,302210
2008-06-17,1.248830,1.258160,1.247280,1.248830,1.154495,81661
2008-06-18,1.233280,1.247280,1.233280,1.233280,1.140120,145961
2008-06-19,1.203730,1.209950,1.202180,1.203730,1.112802,135030
2008-06-20,1.216170,1.217730,1.213060,1.216170,1.124302,102880
2008-06-23,1.205290,1.206840,1.205290,1.205290,1.114244,64300
2008-06-24,1.230170,1.230170,1.228620,1.230170,1.137245,64300
